symbol,timeframe,active,first_day,last_day,n,sha256
DXCM,1d,0,17898,20657,1899,ea4faae8e8b95dc7785b68759e6dacfbaed2ac478c97c68f724bc0c61601b900
EA,1d,0,17898,20657,1899,bd1b29f849f338d5403d3b04bc40f86a14a2bd8c9ee2e39f15653280762c7747
EBAY,1d,0,17898,20657,1899,5a3d94a99a7aba42d020464d924945c383d85932271b71ae138ab0b4f37b26bd
ECL,1d,0,17898,20657,1899,77bc92e71461044ef55d0c33e9e23c6b56c8b365863400216e6f81b67298722c
ED,1d,0,17898,20657,1899,37afe04779a71f84bb121cec7502e751076ae8bbc6b9ae5e2479a28a60ecd97a
EDBL,1d,1,19117,20658,1058,6461310b205bb50b75fba8181808021d8bff4da4c5427d803a669654f0a6917a
EEM,1d,1,17898,20658,1900,cee38e0b22249826562ffc004acceacd8939aa56dd7f5fc910dfae23ce24f36d
EFX,1d,0,17898,20657,1899,9a6b32e6221716e26752cd01f1609ebb4e5eadc36d5ed1f42ccb513136015705
EG,1d,0,17898,20657,1899,0450ca67a583424c2abe78dfb1be724be9bdc94e7e2c80a8a3ea67a0f6053796
EIX,1d,0,17898,20657,1899,536e190840c9293d3c9b2eb76a38b576d31152db01d1d0d3df15656987514786
EL,1d,0,17898,20657,1899,58062f54a2d4e19178ae12f2476dd1173d629b6db603c5e819746bea31a9d5f3
ELDN,1d,0,17898,20657,1899,801968620d5cc2694d193ed490d34ee25b3198105e6066358bb77e8ab7f6c770
ELPW,1d,0,19478,20657,810,ed71af7992f4a5cf84bf7a61fd2c349956acc00cf2c049072aeeeb3e863f2143
ELTX,1d,0,18663,20657,1371,e26540ed5e90307a4d1eebbf1db20f7bd914d22f195f13fe4b00800482a73b6c
ELV,1d,1,17898,20658,1900,247643a73dc504e1024edd9caae8666d6a3d81ccdad20292a9b74dc0ed37d70b
EMN,1d,0,17898,20657,1899,ebf4dc470e71d8c337ec3114c9beb87c091a783b08654d1b6176622b1bdbb2e3
EMR,1d,0,17898,20657,1899,8bc66ad365effcb6d3b28f720fe0225df7da207b25bb1ad464216f3aff83ea58
ENPH,1d,0,17898,20657,1899,31dd2220c2ebf24b2e5b42ba8f67173f98fe2da7986a6ec9e72e34e5ea2d7bd7
EOG,1d,0,17898,20657,1899,0a0208b9c568df8a03a21657f2e6e99fd083d1b1cf33ea239219f94c81f5d5ea
EOSE,1d,0,18416,20657,1542,915bd9d8c02773d2a8e8da573ce4403790bac73dc9bfd6ed602b84bef9eb0c7a
EPAC,1d,0,17898,20657,1899,eb2dde31f059f625c412b5020abc9089a97692b0b18694f6cc165c66580d74da
EPAM,1d,0,17898,20657,1899,e67321b00d019720480b8daa809ac1eae15efb28ace1998013b59e3f7bc30e8d
