day,n_rows,n_symbols,n_stocks,n_crypto,n_resolved,n_ungradable,n_pending,created_first_utc,created_last_utc,revisions,qualifies
2025-04-28,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-29,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-30,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-05-12,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-05-14,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-05-16,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-05-20,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-05-23,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-05-29,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-05-30,3,3,3,0,0,3,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-06-06,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-06-13,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-06-16,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
