h,k,weighting,beta_neutral,sharpe,t_nw,ann_ret,ann_vol,max_dd,calmar,beta,turnover,n_long_med,pool_med,acc,null,n_bets
21,150,conviction,True,-0.14903826718576518,-0.3806334408560065,-0.008718549098219175,0.05849872829876738,-0.10794929079370641,-0.08076522813735315,-0.0626217840311238,20.989662272480608,150.0,634.0,0.5182439024390244,0.5477138211382114,307500
21,150,equal,False,-0.24186240776709447,-0.5999008124558373,-0.020105528315588244,0.08312795899621245,-0.15753030448208213,-0.1276295909011913,-0.18928832657091277,23.529186602870816,150.0,634.0,0.5182439024390244,0.5477138211382114,307500
21,150,equal,True,-0.4943602134335494,-1.2436305570990362,-0.02565042297958602,0.05188609900750818,-0.13695815418306106,-0.18728657035857202,-0.07362287724116144,20.716853662032456,150.0,634.0,0.5182439024390244,0.5477138211382114,307500
21,300,conviction,False,-0.38651926494047806,-0.9766376473675715,-0.01992372737162685,0.05154653125684434,-0.12299712586725088,-0.1619853084463962,-0.09223716323783437,23.529186602870816,300.0,634.0,0.5107524783389275,0.5581043634376708,614928
21,300,conviction,True,-0.6442653180511151,-1.6024939267900429,-0.02311202515191606,0.03587345850282505,-0.11638236874259537,-0.19858699734006335,-0.036407402958388596,22.37529367080795,300.0,634.0,0.5107524783389275,0.5581043634376708,614928
21,300,equal,False,-0.5351764582631812,-1.3145841057500742,-0.0267067118617139,0.04990262828149378,-0.1486842915040101,-0.17962026513738072,-0.11163570447996497,23.529186602870816,300.0,634.0,0.5107524783389275,0.5581043634376708,614928
21,300,equal,True,-0.8834903436907501,-2.1744048662773725,-0.02938691537525266,0.03326229379314984,-0.13687707853909267,-0.21469566481768262,-0.0493847279053229,22.129391153010385,300.0,634.0,0.5107524783389275,0.5581043634376708,614928
42,10,conviction,False,0.38948722766929955,0.8560746615643796,0.07994563009540165,0.20525866938897616,-0.3648866977768529,0.21909713503530495,-0.38253339398775327,11.523444976076556,10.0,634.0,0.5305776892430278,0.5138446215139443,20080
42,10,conviction,True,0.669218430920308,1.308586495780108,0.0936499418558785,0.13993927472543047,-0.22055726562011843,0.4246060160048343,-0.16273040148975265,8.259531215147668,10.0,634.0,0.5305776892430278,0.5138446215139443,20080
42,10,equal,False,0.09068399365979857,0.20823453745919435,0.018262782414550354,0.20138926041417263,-0.36344618018675773,0.05024893205691686,-0.4082131048394749,11.52344497607656,10.0,634.0,0.5305776892430278,0.5138446215139443,20080
