h,target,model,k,s_net,s_sharpe,s_dd,s_tr,s_long,s_short,o_net,o_sharpe,o_dd,o_tr
21,extremes10,logit,25,0.056293968865023816,-0.1638764143218187,-0.26361324355466753,49,0.003420168375836778,-0.01246215976833386,0.35260127245902645,2.9147879702537587,-0.022553679010639902,17
21,extremes10,logit,50,0.010040415337735541,-0.43559453296148065,-0.23000941303569217,49,0.0035657732406240107,-0.004607629315665248,0.10030713553613763,1.1545622916528364,-0.0506208678411251,17
21,extremes10,ens_lh,10,0.17238704740337862,0.747226203134966,-0.28900095644351387,49,0.0025788789805809204,-0.03265229558664885,0.8678652990140786,4.407096890921413,-0.022220354336320823,17
21,extremes10,ens_lh,25,0.06218416858514644,-0.13160368069111758,-0.3007865007981998,49,0.0029115353752282337,-0.013952492722296178,0.3686129435488071,3.7062793157798417,-0.009591152131125961,17
21,extremes10,ens_lh,50,0.022388583387110382,-0.2603452111246229,-0.19277226806551215,49,0.00435398087731352,-0.0058774496872048805,0.07668217564986446,1.034987422696347,-0.06987352182193014,17
21,extremes20,logit,10,0.08147510890189438,-0.18351301728560132,-0.4094782436449418,49,-0.001630472704648211,-0.021709657521630617,0.7388320984334156,3.6643199036551866,-0.04339006088641449,17
21,extremes20,logit,25,0.009377071389364285,-0.482009630515814,-0.32685748089552513,49,0.00105787583852661,-0.007004969393034105,0.3267226747024801,3.9486154227667405,-0.016695320878949614,17
21,extremes20,logit,50,-0.026437771427733577,-0.6380457399436211,-0.2808028804004928,49,0.0017425894677255218,-0.0003511152943188868,0.05653145202430054,1.0049893806316044,-0.05431213231132994,17
21,extremes20,ens_lh,10,0.08677451475483895,-0.21747452050282484,-0.4309334840279743,49,0.0013781232487872933,-0.019584295877019205,0.9151045116806725,4.717776742067536,-0.013587134114490527,17
21,extremes20,ens_lh,25,0.030656509896981862,-0.13882179572159148,-0.29958633519895356,49,0.0038105652866426668,-0.007798853029520981,0.3402573331184672,2.9911383165251815,-0.02038202176751098,17
21,extremes20,ens_lh,50,0.004447756261198632,-0.2535762007812379,-0.21810248567144974,49,0.004499770458139957,-0.002741522252059819,0.062371377975617766,0.8602308019799944,-0.10360295308048176,17
21,relative,logit,10,0.03979457686384706,-0.31929055247184307,-0.5519174818851318,49,-0.006137138576849218,-0.01926956805415707,0.756745565594773,4.678163826196608,-0.014007953263309128,17
21,relative,logit,25,-0.015899744914692027,-0.6945557666749739,-0.4129921521421309,49,-0.001985802150297808,-0.0058358446645158085,0.3472258027196219,3.2323184773095033,-0.029821089871720743,17
21,relative,logit,50,-0.03342142929732185,-0.9460273383322639,-0.37121114908357195,49,-5.038348764342783e-05,-0.00098014527142312,0.04883912013224345,1.2875683465987147,-0.05427229365315973,17
21,relative,ens_lh,10,0.07762496303509397,0.20525143451414954,-0.37485537697112814,49,0.000627566793532516,-0.018809927045649814,0.8901966199046034,4.52373539531565,-0.016362333711034845,17
21,relative,ens_lh,25,0.005865726113454348,-0.13184575012880193,-0.3099880039904557,49,0.0025990285035928993,-0.0048785925153161614,0.3931308274743421,4.202653585013523,-0.023407861749617887,17
21,relative,ens_lh,50,-0.0019354428428262848,-0.09528783959470553,-0.22452352723771904,49,0.004206471108568637,-0.0019709550842936514,0.04940841683639126,0.8003090317456854,-0.07777800161848294,17
42,extremes10,logit,10,0.09269938573502369,0.8166503494517545,-0.17310019776249658,24,0.0015309014458472381,-0.03836889379916067,0.6896699371115989,3.4265638584551406,0.0,7
42,extremes10,logit,25,0.04183115849670131,0.4835317637609097,-0.1770681815471245,24,0.005187660090298167,-0.017756059408602278,0.270553725435816,2.050386120573869,-0.024252473881814066,7
42,extremes10,logit,50,0.004806020996529229,0.048394733615107294,-0.18774150005456972,24,0.006821487262507048,-0.003780519736336028,0.038107952397590385,1.4244879592183783,-0.01774835762045172,7
